"telegram_chat_id","username"
"1963","PumpPancake"
"1964","zerodayclub"
"1965","tradebutlerbot_chat"
"1966","vipsleaks"
"1967","cryptopingfree"
"1968","cryptofox437"
"1969","gulf1pumps"
"1970","SkycoinTrading"
"1971","skyrocketsignals"
"1973","CryptoSignaLLauncher"
"1975","TradeMate_chat"
"1976","forexscanner"
"1978","APE_crypto"
"1979","cryptoworldcoach"
"1981","BinanceTradingFutures"
"1982","binancesignalsturkey"
"1983","yobitpump_en"
"1984","RichTrader_Vip"
"1985","ArabCryptoTalkARB"
"1986","CryptoFamilyPumps"
"1988","CR_OverPowered"
"2000","CryptoGuruSignal"
"2001","mrtradertips"
"2006","sslevclub"
"2009","cryptosky_platform"
"2011","aeiocrypto"
"2013","pandapush"
"2018","safetradingtoday"
"2019","bitcoinseoul"
"2021","dexpoopumps"
"2022","thecryptosecretsociety"
"2024","VIP_PUMP_STRATEGY"
"2025","cryptosignalalerts"
"2027","AltsignalsIndicator"
"2029","PumpBotcom"
"2030","elitecoins"
"2031","TheTrillionaireTrader"
"2033","exclusivepumpanddumpbinance"
"2034","minnerscryptotrade790"
"2036","pumpinwsb"
"2037","Tradecommunitycrypto"
"2038","Crypto_God_Father"
"2039","VerticalTradersCommunity"
"2040","crypto_pumps_group"
"2041","tradinggoen"
"2043","kim_trader_free"
"2044","heropump2021"
"2045","pumpituppumps"
"2047","ResultVIPSignals"
"2048","LOL_crypto"
"2049","crownsignal"
"2052","howtotradeonbinance"
"2054","CryptoTotalX"
"2060","RoocketPump"
"2061","SignalSemperCrypto"
"2062","FOREXCRYTO07"
"2063","httpstmejoinchatUYyHNw387"
"2066","wallstreetbetscoin"
"2069","btcfortuneinvestment"
"2071","shinemetacoin"
"2072","bitcoinpumpsignals"
"2073","secretsignalservice"
"2074","CryptoGains247"
"2075","DTS_Algo"
"2076","MrPainEthMarginSignals"
"2077","crypto_trading_bitcoin"
"2078","verifiedcryptotraderssignal"
"2079","bitcoinprofitcoach"
"2083","Cryptogamblingpro"
"2085","tigertrade"
"2086","bitcointurko"
"2087","WallStreetBets_pumpsofficial"
"2088","MJFREESIGNALS"
"2089","Bittrex_poloniex_signals"
"2090","god_crypto"
"2091","magic_pump"
"2092","wallstreet_cryptotraders"
"2093","Crypto_Chat5"
"2094","crypto_pumps_island"
"2095","whaleglobal2"
"2096","wallstreetbets_channel"
"2097","AQweGsg"
"2099","cryptoprofessorr"
"2100","hotbitpumb"
"2101","CoinPushToday"
"2103","Chatwithexperts"
"2104","MoonShot_Trader"
"2105","pancakeswappumpz"
"2106","cida_official"
"2107","btcpointt"
"2108","OfficialCryptoNinjaCoach"
"2109","commas_team"
"2110","TheProfessorsMillionSignals"
"2111","binancepump247"
"2113","cryptocobraschat"
"2116","TradingByCF"
"2118","evetradingcorponews"
"2119","MoonshotPump_signals"
"2122","Turkish_pump"
"2123","BinanceAndCryptopiaPump"
"2124","true_signals"
"2125","DailyCryptoPumper"
"2127","fastsignals_english"
"2128","TBMSignals"
"2131","cryptonautahungary"
"2132","TrademasterSignalChat"
"2133","CryptoMarketSignalz"
"2135",NULL
"2136","DGTXarchive"
"2137","moontrader_en"
"2138","bittmextradingsignals"
"2139","BinanceProfitSignal"
"2140","BitcoinAltcoin_TR"
"2141","CryptoSignals_pump"
"2142","wallstreetcryptopumps"
"2144","topcopysignalsworld"
"2145","cryptocurrency_coinsignals"
"2146","WallStreetBetsPumper"
"2147","hotbitpumpfree"
"2148","TradingCoach151"
"2149","BullsPumpSignals"
"2157","OxCrypto"
"2158","INTERACTIVEPUMPS"
"2160","cryptoinvestsphere"
"2164","PrimeTrading1"
"2165",NULL
"2167","CryptoSnakePit"
"2169","BTC_prodavci"
"2172","buysellsignall"
"2173","Joe007SupportChatENG"
"2175","Hotbitpumpofficial"
"2176","kikapump"
"2180","Cryptosuggestionss"
"2182","PumpMasterss"
"2191","SmartCryptoPump"
"2193","OfficialCryptoinc"
"2194","vigilant_crypto_snatch"
"2195","cryptospacepump"
"2196","pumpnholdcrypto"
"2197","gateandhotbit1"
"2198","OfficialTradingCryptoCoach"
"2200","traders_circle"
"2204","binancians123456"
"2207","realcryptosignall"
"2210","hcpcrypto"
"2211","tradingscryptocoachbackup"
"2213","pumpittothemoon1"
"2215","GPPGpumpVIPgroup"
"2216","WallStreetBetsPumpers"
"2218","goldjobpumps"
"2220","Binance_Jersey"
"2222","Pancake_PumpBros"
"2224","WSBinsider"
"2225",NULL
"2230","cryptocurrenciepumps"
"2231","NewsolutionProject"
"2234","bestcryptocurrencysignals"
"2237","whales_pump_admins"
"2239","Cornixvip"
"2241","pumpkings05"
"2244","playcryptosafely"
"2246","CryptoTrendAlerts"
"2247","cryptopremiumvipsignal"
"2248","cryptopumpbra"
"2249","cryptosecrect"
"2250","mega1551"
"2256","hotbitforfree"
"2257","binancefuturesvipsignal"
"2258","Biance2"
"2259","Crypto_Emperor_Lalit"
"2263","CryptoPumpProfitt"
"2266","btcusdtradeinexchange"
"2267","cryptoBtc21"
"2268","CRYPTOINCOMETRADE1"
"2269","CryptoClassics"
"2273","CryptoPumpAnalysis"
"2275","cryptotafree"
"2276","Binance_Pump_Whales"
"2277","PumpSignalsAllCryptos"
"2280","binancemoonpump"
"2281","pumpintime4you"
"2284","togetherwepump1"
"2286","CDSignalsStationVIP"
"2290","WhalesHere"
"2291","VlPSignaIs"
"2294","clarksontrader"
"2295","CryptoSwingvip"
"2296","ThunderCatTrading"
"2297","OfficialCryptoProfitCoach"
"2298","moonbowsignal"
"2302","ChrisForexSignalsFREE"
"2310","AnonCollective"
"2311","ANONYMOUS_INDIA_101"
"2314","Memberss177"
"2315","esteemrestorationeagle"
"2316","AnonymousSudanChat"
"2317","AC3HCYBER"
"2318","BoomSecOfficial2023"
"2319","x1915x"
"2320","OPRATIONSALIGATOR"
"2322","ganosecteam01"
"2326","ArabAnonForce"
"2328","sultengblackhat"
"2329","Exploitationn"
"2332","Team313Official"
"2338","aslanneferlertim"
"2341","Coa_Agency"
"2346","team_1956"
"2347","xAnonymousSudan"
"2350","dragonforceio"
"2352","fredensofsecurity1"
"2353","cybererrorsystem"
"2354","fromlammertomastah1337"
"2356","EAGLECYBER999"
"2358","eaglecyberwashere"
"2360","revolusigbanon17"
"2365","JatengCyberTeam777"
"2367","garnesiateam02"
"2368","garnesiateam"
"2371","garnesiachat"
"2373","HacktivistIndonesia"
"2376","ganosecteam"
"2378","Anonymous_070"
"2380","lcmysecteamch"
"2381","lcmysecteam"
"2384","CYB3RG4NG"
"2385","anonhamz"
"2387","Garuda_Cyber_Operation"
"2389","REVOLUSIJBEN"
"2390","fakesec666"
"2393","lulzsecurityagency"
"2395","jatimredstormxploit"
"2396","GhostsofPs_org"
"2398","Haghjoyann"
"2404","legionsteam"
"2408","TeamR70"
"2412","YourAnonTl3x"
"2413","NIXON_CYBER_TEAM_DISCUSSION"
"2414","SukowonoBlackhatTeam"
"2415","Team_r70YEMEN"
"2418","panoc_team"
"2425","Saharahackers"
"2426","SylhetGangSgOfficial"
"2428","NIXON_CYBER_TEAM"
"2429","Team_insane_Pakistan"
"2431","SukowonoBlackhatTeam01"
"2433","SynixCyberCrimeMy"
"2434","teamnwhsecurity"
"2438","thecamp22"
"2439","tengkorakcybercrew"
"2446","GhostSecc"
"2447","opindia_vulzsec"
"2448","systemadminbd"
"2449","legendscrewmy"
"2450","MysteriousTeam0"
"2451","thundercyberteam"
"2452","HostKillCrews"
"2453","PmcWagnerZ"
"2454","Hacker501"
"2458",NULL
"2459","CyberClubIL"
"2460","KEP_TEAM"
"2461","BABATATASASA"
"2463","StarsXTeam"
"2464","DarkCyberWarrior"
"2465","iRadioDFM"
"2466","termuxisrael2"
"2467","stucxteam"
"2468","TigerElectronicUnit"
"2470","usnexushacker"
"2472","cscrew_official"
"2474","thecamp22addabox"
"2478","islamiccyberteam"
"2479","MuslimCyberArmy1"
"2480","ucc_team"
"2485","garudafromcyber"
"2486","ICyberDefence"
"2487","KhanWhiteHatHackersTeam"
"2488","DSH_C"
"2492","abuamin777"
"2499","impir4tor_news"
"2502","zapredelami3"
"2513","darul_huzn1"
"2517","favaid1441"
"2531","mysliislama"
"2550","ABUHALID_VARANDO"
